Date,Open,High,Low,Close,Volume,average,barCount
2025-01-31,247.09,247.19,233.44,236.0,55123227.0,239.298,254375
2025-02-03,230.0,231.83,225.7,228.01,44021552.0,228.172,215856
2025-02-04,227.25,233.13,226.65,232.8,25058543.0,230.895,126289
2025-02-05,228.53,232.67,228.27,232.47,20449875.0,230.314,105563
2025-02-06,231.32,233.8,230.42,233.22,16237765.0,232.145,83308
2025-02-07,232.54,234.0,227.26,227.63,22173050.0,229.554,117770
2025-02-10,229.52,230.59,227.2,227.65,16324716.0,228.833,85783
2025-02-11,228.2,235.23,228.13,232.62,29100164.0,232.75,148594
2025-02-12,231.12,236.96,230.68,236.87,24130243.0,234.595,138689
2025-02-13,236.91,242.34,235.57,241.53,28122714.0,239.92,143697
2025-02-14,241.21,245.35,240.99,244.6,23581090.0,243.951,125198
2025-02-18,244.15,245.18,241.84,244.47,21465678.0,243.942,115535
2025-02-19,244.66,246.01,243.16,244.87,16915146.0,244.654,90939
2025-02-20,244.94,246.78,244.29,245.83,19064874.0,245.604,102816
2025-02-21,246.01,248.69,245.22,245.55,28716437.0,246.568,144391
2025-02-24,245.0,248.86,244.42,247.1,27787509.0,247.353,157395
2025-02-25,248.0,250.0,244.91,247.04,27644733.0,247.641,153691
2025-02-26,244.38,244.98,239.13,240.36,26055507.0,241.868,156766
2025-02-27,239.61,242.46,237.06,237.3,20520636.0,239.998,120829
2025-02-28,236.98,242.09,233.74,241.84,25233865.0,238.107,152442
2025-03-03,241.81,244.03,236.11,238.03,24769630.0,240.482,143871
2025-03-04,237.71,240.07,234.68,235.93,30530420.0,237.953,174656
2025-03-05,235.43,236.55,229.23,235.74,26940242.0,233.477,148452
2025-03-06,234.44,237.86,233.33,235.33,26407216.0,235.291,152498
2025-03-07,235.17,241.37,234.76,239.07,30095115.0,238.924,177529
2025-03-10,235.5,236.16,224.22,227.48,43234197.0,227.65,258650
2025-03-11,223.82,225.84,217.45,220.84,44974442.0,221.144,242887
2025-03-12,220.14,221.75,214.91,216.98,38748044.0,217.704,204102
2025-03-13,215.94,216.84,208.42,209.68,38870537.0,212.393,206792
2025-03-14,211.25,213.95,209.58,213.49,35431205.0,212.251,186104
2025-03-17,213.31,215.22,210.0,214.0,27817291.0,213.021,143192
2025-03-18,214.15,215.15,211.49,212.69,24692713.0,213.202,141920
2025-03-19,214.09,218.76,213.75,215.24,28760698.0,215.764,156156
2025-03-20,213.81,217.49,212.22,214.1,26158446.0,214.533,142644
2025-03-21,211.51,218.84,211.28,218.27,36345830.0,214.284,149030
2025-03-24,221.0,221.48,218.58,220.73,24160782.0,219.868,127665
2025-03-25,220.77,224.1,220.08,223.75,19719670.0,222.93,104652
2025-03-26,223.51,225.02,220.47,221.53,19730872.0,222.811,111484
2025-03-27,221.39,224.99,220.56,223.85,19494683.0,223.219,107099
2025-03-28,221.73,223.81,217.68,217.9,22273732.0,219.796,125527
2025-03-31,217.2,225.62,216.23,222.13,32521427.0,219.994,186453
2025-04-01,219.76,223.68,218.9,223.19,19998136.0,222.091,116605
2025-04-02,221.35,225.19,221.02,223.89,18595157.0,223.739,100778
2025-04-03,205.53,207.49,201.25,203.19,61468823.0,204.139,337122
2025-04-04,193.92,199.88,187.34,188.38,74838788.0,193.141,410005
2025-04-07,177.21,194.15,174.72,181.46,102060761.0,180.365,569010
2025-04-08,186.53,190.34,169.21,172.42,73777164.0,180.109,411060
2025-04-09,172.06,200.61,171.89,198.85,116322379.0,186.645,644995
2025-04-10,189.06,194.78,183.0,190.42,68241467.0,189.792,413327
2025-04-11,186.1,199.54,186.06,198.15,53770920.0,195.259,296497
2025-04-14,211.43,212.94,201.16,202.52,66414971.0,205.667,338308
2025-04-15,201.76,203.51,199.8,202.14,29238300.0,202.195,165203
2025-04-16,198.36,200.7,192.37,194.27,35896165.0,196.215,200071
2025-04-17,197.02,198.84,194.42,196.98,29851913.0,196.876,153473
2025-04-21,193.31,193.8,189.81,193.16,23372077.0,191.611,128003
2025-04-22,196.0,201.59,195.97,199.74,29453698.0,199.095,152437
2025-04-23,205.99,208.0,202.79,204.6,30477438.0,205.506,168361
2025-04-24,204.94,208.83,202.94,208.37,21891409.0,206.48,125126
2025-04-25,206.35,209.75,206.2,209.28,19849830.0,208.137,108878
2025-04-28,210.06,211.5,207.46,210.14,19037050.0,209.496,101542
2025-04-29,208.8,212.24,208.37,211.21,16647114.0,210.941,91661
2025-04-30,209.26,213.58,206.67,212.5,20880576.0,210.567,109889
